Region 1,,,Region 2,,
Abbr.,Name,Macroregion,Abbr.,Name,Macroregion
HOK,Hokkaido,East Asia,THK,Tohoku,East Asia
IAN,Andaman and Nicobar Islands,South Asia,LMM,Lower Burma,Southeast Asia
IAN,Andaman and Nicobar Islands,South Asia,ACI,Aceh,Southeast Asia
JII,East Java,Southeast Asia,BAI,Bali,Southeast Asia
BAI,Bali,Southeast Asia,NBI,West Nusa Tenggara,Southeast Asia
NBI,West Nusa Tenggara,Southeast Asia,NTI,East Nusa Tenggara,Southeast Asia
NTI,East Nusa Tenggara,Southeast Asia,TLS,East Timor,Southeast Asia
TLS,East Timor,Southeast Asia,MAI,Maluku,Southeast Asia
MAI,Maluku,Southeast Asia,PAI,Papua,Southeast Asia
SAI,North Sulawesi,Southeast Asia,MUI,North Maluku,Southeast Asia
LAI,Lampung,Southeast Asia,BTI,Banten,Southeast Asia
BBI,Bangka Belitung Islands,Southeast Asia,KBI,West Kalimantan,Southeast Asia
BBI,Bangka Belitung Islands,Southeast Asia,SSI,South Sumatra,Southeast Asia
KRI,Riau Islands,Southeast Asia,RII,Riau,Southeast Asia
MUI,North Maluku,Southeast Asia,PAI,Papua,Southeast Asia
PAI,Papua,Southeast Asia,PNG,Papua New Guinea,Oceania
PAI,Papua,Southeast Asia,PLW,Palau,Oceania
PNG,Papua New Guinea,Oceania,QLD,Queensland,Australia and New Zealand
PNG,Papua New Guinea,Oceania,SLB,Solomon Islands,Oceania
TAS,Tasmania,Australia and New Zealand,VIC,Victoria,Australia and New Zealand
TAS,Tasmania,Australia and New Zealand,NZ,New Zealand,Australia and New Zealand
NSW,New South Wales,Australia and New Zealand,NFK,Norfolk Island,Australia and New Zealand
NZ,New Zealand,Australia and New Zealand,NFK,Norfolk Island,Australia and New Zealand
SUZ,Sinai & Suez,Northern Africa,PSE,Palestine,West Asia
NCY,Northern Cyprus,West Asia,MTR,Mediterranean Turkey,West Asia
ESS,East Spain,Southern Europe,BIS,Balearic Islands,Southern Europe
SOI,South Italy,Southern Europe,SIC,Sicily,Southern Europe
SIC,Sicily,Southern Europe,MLT,Malta,Southern Europe
CTI,Central Italy,Southern Europe,COS,Corsica,Western Europe
COS,Corsica,Western Europe,SAR,Sardinia,Southern Europe
GOT,Götaland,Northern Europe,DEN,Denmark,Northern Europe
ESS,East Spain,Southern Europe,IBS,(Missing),(Missing)
QAT,Qatar,West Asia,BHR,Bahrain,West Asia
NAJ,Najd,West Asia,BHR,Bahrain,West Asia
ILD,Lakshadweep,South Asia,IKL,Kerala,South Asia
BVI,British Virgin Islands,Caribbean,AIA,Anguilla,Caribbean
AZ,Arizona,Western United States,CO,Colorado,Western United States
SK,Saskatchewan,Canada,NU,Nunavut,Canada
GRL,Greenland,Arctica and Antarctica,NU,Nunavut,Canada
GRL,Greenland,Arctica and Antarctica,ISL,Iceland,Northern Europe
SJM,Svalbard & Jan Mayen,Arctica and Antarctica,NOR,Norway,Northern Europe
ATA,Antarctica,Arctica and Antarctica,CLS,Southern Chile,South South America
ATA,Antarctica,Arctica and Antarctica,SSG,South Georgia and the South Sandwich Islands,South South America
NB,New Brunswick,Canada,PE,Prince Edward Island,Canada
UVI,U.S. Virgin Islands,Caribbean,PR,Puerto Rico,Caribbean
DOM,Dominican Republic,Caribbean,PR,Puerto Rico,Caribbean
HAI,Haiti,Caribbean,CUB,Cuba,Caribbean
JAM,Jamaica,Caribbean,CUB,Cuba,Caribbean
JAM,Jamaica,Caribbean,CYI,Cayman Islands,Caribbean
VNC,Venezuela Occidental,North South America,ABW,Aruba,Caribbean
VNC,Venezuela Occidental,North South America,CUW,Curacao,Caribbean
ABW,Aruba,Caribbean,CUW,Curacao,Caribbean
VNM,Metropolitan Venezuela,North South America,BES,"Bonaire, Sint Eustatius and Saba",Caribbean
CUW,Curacao,Caribbean,BES,"Bonaire, Sint Eustatius and Saba",Caribbean
BES,"Bonaire, Sint Eustatius and Saba",Caribbean,KNA,Saint Kitts and Nevis,Caribbean
KNA,Saint Kitts and Nevis,Caribbean,ATG,Antigua and Barbuda,Caribbean
ATG,Antigua and Barbuda,Caribbean,MSR,Montserrat,Caribbean
MSR,Montserrat,Caribbean,GLP,Guadaloupe,Caribbean
TTO,Trinidad and Tobago,Caribbean,VNO,Venezuela Oriente,North South America
TTO,Trinidad and Tobago,Caribbean,GRD,Grenada,Caribbean
HOK,Hokkaido,East Asia,FER,Far Eastern Russia,North Asia
DJI,Djibouti,Eastern Africa,NYE,North Yemen,West Asia
SIR,Siberian Russia,North Asia,FER,Far Eastern Russia,North Asia
SIR,Siberian Russia,North Asia,KAZ,Kazakhstan,Central Asia
RIF,Rif,Northern Africa,SUS,South Spain,Southern Europe
MAT,Moroccan Atlas,Northern Africa,CNS,Canary Islands,Southern Europe
FRO,Faroe Islands,Northern Europe,ISL,Iceland,Northern Europe
FRO,Faroe Islands,Northern Europe,SCT,Scotland,Northern Europe
FLK,Falkland Islands,South South America,PTA,Patagonia,South South America
FLK,Falkland Islands,South South America,SSG,South Georgia and the South Sandwich Islands,South South America
NIR,Northern Ireland,Northern Europe,SCT,Scotland,Northern Europe
IOM,Isle of Man,Northern Europe,SCT,Scotland,Northern Europe
NMD,Normandy,Western Europe,BCI,British Channel Islands,Northern Europe
SGP,Singapore,Southeast Asia,KRI,Riau Islands,Southeast Asia
KBI,West Kalimantan,Southeast Asia,KRI,Riau Islands,Southeast Asia
KII,East Kalimantan,Southeast Asia,STI,Central Sulawesi,Southeast Asia
KSI,South Kalimantan,Southeast Asia,JII,East Java,Southeast Asia
MUI,North Maluku,Southeast Asia,STI,Central Sulawesi,Southeast Asia
MUI,North Maluku,Southeast Asia,MAI,Maluku,Southeast Asia
SNI,South Sulawesi,Southeast Asia,NTI,East Nusa Tenggara,Southeast Asia
FL,Florida,Southern United States,CUB,Cuba,Caribbean
FL,Florida,Southern United States,BHS,The Bahamas,Caribbean
